station_name,station_full_name,station_zone,average_delay,median_delay,total_records
CRW,CHARAUD,NWR,22.81624500665779,7.0,3004
CRWA,CHIRAWA,NWR,14.374923422503574,4.0,4897
CRWL,CHAKRAKWALA,NR,92.125,19.0,720
CRX,CARRON,NFR,35.33835616438356,22.5,730
CRY,CHIRAYINKIL,SR,11.871192341166232,7.0,9192
CS,CANNANORE SOUTH,SR,17.667207792207794,10.0,2464
CSA,CHAUSA,ECR,84.75759051794122,59.0,6159
CSB,SHIVAJI BRIDGE,NR,32.12828685258964,21.0,17570
CSDR,CHANNASANDRA,SWR,29.276167471819647,22.0,1242
CSM,CANSAULIM,SWR,14.552779194288629,12.0,1961
CSMT,C SHIVAJI TERM MUMBAI,CR,21.060434309816458,2.0,30347
CSN,CHALISGAON JN,CR,52.19522091974752,27.0,17744
CSR,CHAK SIKANDAR,ECR,47.02307058500412,35.0,3641
CSZ,COSSIMBAZAR,ER,7.764383298056571,3.0,10394
CT,CHITTAPUR,SCR,29.232794042116076,16.0,7788
CTA,CHITRADURG,SWR,33.67601043024772,21.0,3068
CTC,CUTTACK,ECOR,71.3144679735516,39.0,34331
CTD,CHHOTA UDEPUR,WR,1.3033305807872282,0.0,3633
CTF,CHITGIDDA,SCR,38.85984677782785,38.0,2219
CTH,CHIKALTHAN,SCR,52.33679927667269,39.0,2212
CTHR,CHITAHRA,WCR,133.77295568752857,132.0,2189
CTHT,CHATAR,ECR,39.7305479109332,27.0,3997
CTJ,CHHATAINI,WCR,52.74545454545454,38.0,660
CTKT,CHOTI KHATU,NWR,23.35907514450867,7.0,4325
CTL,CHITAL,WR,24.971805638872226,22.0,1667
CTM,KATTANGULATUR,SR,11.371134020618557,9.0,1455
CTMP,CHHIT MAKANDPUR,ER,37.642137333020855,21.0,4267
CTND,CHETTINAD,SR,6.490167865707434,4.0,2085
CTO,CHITTOOR,SCR,31.840493687582438,19.0,10614
CTPE,CHANDANATTOP,SR,3.8598173515981733,1.0,2190
CTQ,CHETAR,ECR,84.46947873799725,74.0,2916
CTR,CHATRA,ER,39.69345698093766,29.0,3882
CTRD,CHITRAWAD,WR,12.201267238166231,5.0,2683
CTRE,CHITTERI,SR,14.548354935194416,12.0,4012
CTS,CHATTRIPUT,ECOR,37.579666160849776,24.0,659
CTT,CHITRASANI,NWR,6.83089770354906,3.0,1437
CTTP,CHITRAPUR,KR,21.671232876712327,0.0,730
CTU,CHHATAPUR ROAD,ECR,44.99588477366255,16.0,1458
CTW,CHHINTANWALA,NR,14.39273474982865,11.0,1459
CTYL,CHITYALA,SCR,55.8715938783128,46.0,2679
CUE,CHOUPALE,WR,11.37928669410151,4.0,1458
CUK,CHURK,NCR,47.51477832512315,23.5,2842
CUPJ,CUDDALORE PORT,SR,19.835229858898497,14.0,8788
